DX이해,제목,제작,url,부분,분류1,분류2,분류3,분류4
DX이해,[스마트 Digital Transformation_제조산업 편(1)] 제조현장의 BI 및 빅데이터 추진을 위한 ERP 운영과 MDM 통합 방안 ,,https://www.youtube.com/watch?v=U8iYEbneafI&pp=ygUIQkntmIHsi6A%3D,BI,,,,
DX이해,,,,BI,,,,
DX이해,8차시. 사업모델 구체화 및 비즈니스 모델 캔버스 작성법 ,창업에듀,https://www.youtube.com/watch?v=-GoprgghHY8,BI,BM,,,
DX이해,[가치투자101] 11. 비즈니스모델 분석 ,가치투자101,https://www.youtube.com/watch?v=-nNEHAnMi88&pp=ygUaRFjruYTspojri4jsiqTrqqjrjbjrtoTshJ0%3D,BI,BM,,,
DX이해,[SNS마케팅 A to Z] 비즈니스모델(BM)설계_비즈니스 모델 이해와 사업화 전략 1 ,경기도경제과학진흥원GBSA,https://www.youtube.com/watch?v=92uuw11EglE&pp=ygUIQk3soITrnrU%3D,BI,BM,,,
DX이해,이 답답해 보이는 게임이 전세계 모바일게임 매출 10위인 이유(삼국지 전략판 BM분석 1/2) ,중년게이머 김실장,https://www.youtube.com/watch?v=Hcm6FFYHcH8&pp=ygUIQk3soITrnrU%3D,BI,BM,,,
DX이해,[IT알려줌-BM] 비즈니스모델(Business Model)이란 무엇인가? ,스투파 - 스타트업 투자 파이터,https://www.youtube.com/watch?v=yjnGcncbQy8&pp=ygUIQk3soITrnrU%3D,BI,BM,,,
DX이해,(풀버젼) 5회 [BM] 비즈니스모델의 개념과 구체화 방법 ,스타사짜,https://www.youtube.com/watch?v=DtHRV2SAeEU&pp=ygUIQk3soITrnrU%3D,BI,BM,,,
DX이해,[외국계 10년차 BM] 브랜드 마케터가 하는 일! 브랜드 마케팅이란? ,지나킴 마케터,https://www.youtube.com/watch?v=YbXwYZig_u0&pp=ygUIQk3soITrnrU%3D,BI,BM,,,
DX이해,"[사업계획서 작성법] 심사위원 사로잡는 매력적인 BM(Business Model)이란? ""비즈니스모델 그거 어떻게 하는건데...??"" ",김상미의 창업Talk,https://www.youtube.com/watch?v=mXlIrNMHZts&pp=ygUIQk3soITrnrU%3D,BI,BM,,,
DX이해,[창창TV] 비즈니스 모델 BM 특허는 어떻게 등록받나? ,창창TV,https://www.youtube.com/watch?v=UYp-J9y3MOA&pp=ygUIQk3soITrnrU%3D,BI,BM,,,
DX이해,6.2 [BM] 비즈니스 모델의 적법성 사례분석 (2) - 타다 ,스타사짜,https://www.youtube.com/watch?v=YHoreV-ZFJc&pp=ygUIQk3soITrnrU%3D,BI,BM,,,
DX이해,[스타트업 FAQ 특허편] 4.BM특허 어디까지 알고있니? BM특허 완전정복! ,ss.up.tv(썹tv) 서울창업허브,https://www.youtube.com/watch?v=AByqEIChRLg&pp=ygUIQk3soITrnrU%3D,BI,BM,,,
DX이해,,,,,,,,
DX이해,,,,,,,,
DX이해,,,,,,,,
DX이해,RPA를 활용한 비즈니스 혁신 사례 | 백승헌 전무 ,크마TV_KMA 한국능률협회,https://www.youtube.com/watch?v=B6pIvZvikxg,DX사업전략,비즈니스혁신,,,
DX이해,산업별 맞춤형 비즈니스 혁신 전략 공개! - 고객사례로 살펴보는 산업별 성공케이스 ,TalkIT,https://www.youtube.com/watch?v=Fue4vIynPGY,DX사업전략,비즈니스혁신,,,
DX이해,비즈니스 혁신을 위한 딥러닝 기술 소개 및 적용 사례 ,데이터人싸,https://www.youtube.com/watch?v=bLu4ZF68pdo&pp=ygUY67mE7KaI64uI7Iqk7ZiB7Iug7IKs66GA,DX사업전략,비즈니스혁신,,,
DX이해,"[풀버전] 넷플릭스, 파괴적 혁신의 서막 | EBS 비즈니스 리뷰 이호수편 ",EBS 비즈니스 리뷰,https://www.youtube.com/watch?v=hnJOt48nVbY&pp=ygUY67mE7KaI64uI7Iqk7ZiB7Iug7IKs66GA,DX사업전략,비즈니스혁신,,,
DX이해,"[비즈킷]_ 비즈니스 모델 혁신, 한 방에 끝내라! ",IGM세계경영연구원,https://www.youtube.com/watch?v=mt6EHFJlxkM&pp=ygUY67mE7KaI64uI7Iqk7ZiB7Iug7IKs66GA,DX사업전략,비즈니스혁신,,,
DX이해,경험 비즈니스 시대의 CX 전략 | 이향은 상무 ,크마TV_KMA 한국능률협회,https://www.youtube.com/watch?v=elmIlNBbPik&pp=ygUY67mE7KaI64uI7Iqk7ZiB7Iug7IKs66GA,DX사업전략,비즈니스혁신,,,
DX이해,"[비즈킷]_ 다들 비즈니스 모델을 혁신하라는데 대체 뭘 어떡해야 할까? (월풀,priceline com) ",IGM세계경영연구원,https://www.youtube.com/watch?v=AzhfnZpd5io&pp=ygUY67mE7KaI64uI7Iqk7ZiB7Iug7IKs66GA,DX사업전략,비즈니스혁신,,,
DX이해,AR 기술을 통한 AEC 산업의 비즈니스 혁신 방법과 사례 ,TalkIT,https://www.youtube.com/watch?v=IkkRMv2qupc&pp=ygUY67mE7KaI64uI7Iqk7ZiB7Iug7IKs66GA,DX사업전략,비즈니스혁신,,,
DX이해,글로벌 철강사의 고객 경험 혁신을 통한 비즈니스 모델 혁신 ,SAP Korea,https://www.youtube.com/watch?v=IfioaPcu_1U&pp=ygUY67mE7KaI64uI7Iqk7ZiB7Iug7IKs66GA,DX사업전략,비즈니스혁신,,,
DX이해,공간 비즈니스의 끝판왕! 호텔 비즈니스ㅣEBS 비즈니스 리뷰 한이경편 ,EBS 비즈니스 리뷰,https://www.youtube.com/watch?v=d1OXRBeB3fQ&pp=ygUY67mE7KaI64uI7Iqk7ZiB7Iug7IKs66GA,DX사업전략,비즈니스혁신,,,
DX이해,어떻게 비즈니스모델을 혁신할 것인가? : 비즈니스모델을 혁신하는 5가지 길 - 5 BM-innovation ways ,은종성TV,https://www.youtube.com/watch?v=8U5_5_7U7BA&pp=ygUS67mE7KaI64uI7Iqk7ZiB7Iug,DX사업전략,비즈니스혁신,,,
DX이해,[디자인 씽킹] 비즈니스 혁신을 위한 최고의 디자인 방법론 ,디자인씽킹랩 Design Thinking Lab,https://www.youtube.com/watch?v=tk0zOf-D-mY&pp=ygUS67mE7KaI64uI7Iqk7ZiB7Iug,DX사업전략,비즈니스혁신,,,
DX이해,,,,,,,,
DX이해,,,,,,,,
DX이해,사업 다각화 성장 전략 확산...건설사의 햄버거·게임사의 정수기 / YTN ,YTN,https://www.youtube.com/watch?v=8imKHhrZ3O4&pp=ygUV7IKs7JeF64uk6rCB7ZmU7KCE6561,DX사업전략,사업다각화전략,,,
DX이해,"리마인드 전략 ⑥ 경영전략 강의 - 기업수준의 전략, 다각화전략과 사업포트폴리오 관리 ",모든경영의답,https://www.youtube.com/watch?v=G2XbiOFsqPE&pp=ygUV7IKs7JeF64uk6rCB7ZmU7KCE6561,DX사업전략,사업다각화전략,,,
DX이해,돈을 벌려면 사업을 다각화 하라 ,초아 서대원 TV,https://www.youtube.com/watch?v=XZBecaZEZUE&pp=ygUV7IKs7JeF64uk6rCB7ZmU7KCE6561,DX사업전략,사업다각화전략,,,
DX이해,[변화하는 기업들] '사업다각화'로 살 길 찾는 화학업계 (2022.01.19/뉴스데스크/울산MBC) ,울산MBC뉴스,https://www.youtube.com/watch?v=DNYYfaHslMs&pp=ygUV7IKs7JeF64uk6rCB7ZmU7KCE6561,DX사업전략,사업다각화전략,,,
DX이해,"KT에스테이트, 사업 다각화…분산오피스 진출 ",서울경제TV 포커스온,https://www.youtube.com/watch?v=5S9aOSrDgdA&pp=ygUV7IKs7JeF64uk6rCB7ZmU7KCE6561,DX사업전략,사업다각화전략,,,
DX이해,"위기의 케이블업계, 사업 다각화 모색 ",뉴스토마토,https://www.youtube.com/watch?v=J9GsHbNi4RU&pp=ygUV7IKs7JeF64uk6rCB7ZmU7KCE6561,DX사업전략,사업다각화전략,,,
DX이해,2022 원자력생태계 지원사업 사업다각화 지원을 소개합니다 ,KAIF 한국원자력산업협회,https://www.youtube.com/watch?v=AdSRnF4wNMY&pp=ygUV7IKs7JeF64uk6rCB7ZmU7KCE6561,DX사업전략,사업다각화전략,,,
DX이해,[창업에듀] 57.시장 트렌드를 바탕으로 한 비즈니스모델 다각화 중장기 로드맵 작성 전략 #1 ,창업에듀,https://www.youtube.com/watch?v=JkryRnbVXuM&pp=ygUV7IKs7JeF64uk6rCB7ZmU7KCE6561,DX사업전략,사업다각화전략,,,
DX이해,"[최성환 지점장의 전략] '사업다각화 모멘텀' 기대되는최고의 종목은? / 머니투데이방송 (증시, 증권) ",MTN 머니투데이방송,https://www.youtube.com/watch?v=-fsWwrTxv5A&pp=ygUV7IKs7JeF64uk6rCB7ZmU7KCE6561,DX사업전략,사업다각화전략,,,
DX이해,정유사도 사업 다각화...MFC 준공 가동 -R (221111금/뉴스데스크) ,여수MBC News+,https://www.youtube.com/watch?v=JjTlDCj4w6o&pp=ygUV7IKs7JeF64uk6rCB7ZmU7KCE6561,DX사업전략,사업다각화전략,,,
DX이해,"[매일경제TV 뉴스] 삼성물산·포스코건설·GS건설, 사업 다각화로 불황 넘는다 ",매일경제TV,https://www.youtube.com/watch?v=qNpC5-XecT0&pp=ygUP7IKs7JeF64uk6rCB7ZmU,DX사업전략,사업다각화전략,,,
DX이해,"사업다각화로 성장 기대 '유효'... 퀄컴 ""주가 너무 싸다... 사라""_주목! 이 기업 (20221025) ","투자의 이유, 이유TV",https://www.youtube.com/watch?v=cGpSDeIbNxQ&pp=ygUP7IKs7JeF64uk6rCB7ZmU,DX사업전략,사업다각화전략,,,
DX이해,"[새 간판, 신사업]① 'HD' 정체성 심는 정기선…사업 다각화도 순항할까 / 머니투데이방송 (뉴스) ",MTN 머니투데이방송,https://www.youtube.com/watch?v=XAImRowps4g&pp=ygUP7IKs7JeF64uk6rCB7ZmU,DX사업전략,사업다각화전략,,,
DX이해,,,,,,,,
DX이해,"왜, 프라이싱 전략이 필요한가? ",협상가 류재언,https://www.youtube.com/watch?v=FnGicPh0dso,DX사업전략,프라이싱전략,,,
DX이해,"팔리는 가격 책정 방법 가격 후려치기 가격 인상 담합 없이 가격 정하기 알려드림, 장문정 작가의 마케팅 베스트셀러 책 리뷰 ",장문정TV,https://www.youtube.com/watch?v=vt6XF4mveF8&pp=ygUS7ZSE65287J207Iux7KCE6561,DX사업전략,프라이싱전략,,,
DX이해,이 3가지 관점에서 가격을 결정하십시오 I 당신의 가격은 틀렸습니다 ,가인지TV,https://www.youtube.com/watch?v=7Lt9i2qs8lY&pp=ygUS7ZSE65287J207Iux7KCE6561,DX사업전략,프라이싱전략,,,
DX이해,마케팅 최신이론!! 돈을 벌게 해주는 가격전략 ,쿠교수의 유튜브 MBA,https://www.youtube.com/watch?v=2Fzis2nXI6g&pp=ygUS7ZSE65287J207Iux7KCE6561,DX사업전략,프라이싱전략,,,
DX이해,"5분책읽기-가격은 원가가 아니다 / 프라이싱, 헤르만 지몬 ",버킷랩 bucketlab - 버킷리스트/자기계발/독서,https://www.youtube.com/watch?v=nCbJuzxcVCw&pp=ygUS7ZSE65287J207Iux7KCE6561,DX사업전략,프라이싱전략,,,
DX이해,전 아디다스 상품 기획 전문가 정근혜 대표가 알려주는 프라이싱 트렌드! ,가인지TV,https://www.youtube.com/watch?v=zikvl90Xw3k&pp=ygUS7ZSE65287J207Iux7KCE6561,DX사업전략,프라이싱전략,,,
DX이해,스타트업의 가격 전략 101 (원제 : startup pricing 101) (Kevin Hale - Y Combinator) ,BZCF | 비즈까페,https://www.youtube.com/watch?v=TiEKp_Pwi8w&pp=ygUS7ZSE65287J207Iux7KCE6561,DX사업전략,프라이싱전략,,,
DX이해,[마케팅관리클라쓰]10EP2.가격전략_Pricing ,Creactive크리액티브,https://www.youtube.com/watch?v=eWQyWJ4kFcs&pp=ygUS7ZSE65287J207Iux7KCE6561,DX사업전략,프라이싱전략,,,
DX이해,"디지털 트랜스포메이션 시대, 소프트웨어 수익 증대를 위한 프라이싱 전략-2021/05/25 웨비나 ",Thales CPL SM,https://www.youtube.com/watch?v=wJtbveL8GWY&pp=ygUS7ZSE65287J207Iux7KCE6561,DX사업전략,프라이싱전략,,,
DX이해,[와튼스쿨] 42강. 스마트 프라이싱(2013) ,강연의 시대,https://www.youtube.com/watch?v=tleOFRMBry4&pp=ygUS7ZSE65287J207Iux7KCE6561,DX사업전략,프라이싱전략,,,
DX이해,"[창업에듀] 05.판매가격 설계, 이것만은 꼭 알기! #1 ",창업에듀,https://www.youtube.com/watch?v=xjl_gkw1Kyw&pp=ygUS7ZSE65287J207Iux7KCE6561,DX사업전략,프라이싱전략,,,
DX이해,,,,,,,,
DX이해,판을 깨는 혁신 전략! ,스터디언,https://www.youtube.com/watch?v=aexpPCQTCww&pp=ygUY7ISc67mE7Iqk7J2064W467Kg7J207IWY,DX사업전략,CS전략,,,
DX이해,국내 최대 컴퓨터 AS 센터-CS 이노베이션 탐방-컴덕이라면 드러와 σ(^○^) ,,https://www.youtube.com/watch?v=E1F3q6RB5Cs&pp=ygUY7ISc67mE7Iqk7J2064W467Kg7J207IWY,DX사업전략,CS전략,,,
DX이해,시대에 맞게 변화하는 호텔·숙박 서비스 전략?! ,서울특별시관광협회STA,https://www.youtube.com/watch?v=nvP_8ZZ4P4c&pp=ygUY7ISc67mE7Iqk7J2064W467Kg7J207IWY,DX사업전략,CS전략,,,
DX이해,[서비스 디자인 이노베이션 부트캠프] 프로그램 멘토 SD4G 이용기 교수님 인터뷰 ,undernamu,https://www.youtube.com/watch?v=aHiDmXeuMBQ&pp=ygUY7ISc67mE7Iqk7J2064W467Kg7J207IWY,DX사업전략,CS전략,,,
DX이해,,,,,,,,
DX이해,"[풀버전] DT시대, 새로운 마케팅의 필요성 | EBS 비즈니스 리뷰 플러스 이승윤 편 ",,https://www.youtube.com/watch?v=0cLVWQnEwlQ&t=26s&pp=ygUT65SU7KeA7YS4IOuniOy8gO2MhQ%3D%3D,DX트렌드,디지털 마케팅,,,
DX이해,디지털 마케팅(Digital Marketing) ,내일컨설팅(주),https://www.youtube.com/watch?v=4TT32E_-6kg&pp=ygUT65SU7KeA7YS4IOuniOy8gO2MhQ%3D%3D,DX트렌드,디지털 마케팅,,,
DX이해,[시대의 지식ON] 디지털 광고 마케팅이 필수인 이유 | 건국대 이승윤 교수 ,서울시민대학,https://www.youtube.com/watch?v=pG4xr2FXFiU&pp=ygUT65SU7KeA7YS4IOuniOy8gO2MhQ%3D%3D,DX트렌드,디지털 마케팅,,,
DX이해,2022 디지털 마케팅 트렌드 | 구수연 전무 ,크마TV_KMA 한국능률협회,https://www.youtube.com/watch?v=3u1OiTQpX_g&pp=ygUT65SU7KeA7YS4IOuniOy8gO2MhQ%3D%3D,DX트렌드,디지털 마케팅,,,
DX이해,"초개인화 시대, 매출을 일으키는 디지털 마케팅 비법 4가지 ",가인지TV,https://www.youtube.com/watch?v=VJCijX3LJ3Y&pp=ygUT65SU7KeA7YS4IOuniOy8gO2MhQ%3D%3D,DX트렌드,디지털 마케팅,,,
DX이해,인공지능 시대의 브랜드 전략은? 마케팅에서 주목해야 할 #AI트랜스포메이션 l 함샤우트글로벌 chatGPT 시리즈 1화 #chatgpt #AI마케팅 ,함샤우트글로벌 HAHMSHOUT GLOBAL,https://www.youtube.com/watch?v=qFU-DQ8wAM4&pp=ygUT65SU7KeA7YS4IOuniOy8gO2MhQ%3D%3D,DX트렌드,디지털 마케팅,,,
DX이해,디지털&브랜드 fundamental_디지털 마케팅이란 ,패스트캠퍼스,https://www.youtube.com/watch?v=fA63-4-8I70&pp=ygUT65SU7KeA7YS4IOuniOy8gO2MhQ%3D%3D,DX트렌드,디지털 마케팅,,,
DX이해,시공간을 넘는 제약바이오산업의 디지털마케팅! ,한국제약바이오협회,https://www.youtube.com/watch?v=Ct7D6WMAAj4&pp=ygUT65SU7KeA7YS4IOuniOy8gO2MhQ%3D%3D,DX트렌드,디지털 마케팅,,,
DX이해,디지털 마케팅 - 디지털 고객 경험을 혁신하라 Adobe Korea ,TalkIT,https://www.youtube.com/watch?v=kW-AiJzHNeU&pp=ygUc7Jio65Oc66-465SU7Ja0IOqzoOqwneqyve2XmA%3D%3D,DX트렌드,디지털 마케팅,고객경험,,
DX이해,돈 한푼 안들이고 효과적인 광고하는 방법? 바로 온드미디어(Owned Media) ,강현우의 광고렌즈[lens],https://www.youtube.com/watch?v=CsxgWB0jLV8&pp=ygUc7Jio65Oc66-465SU7Ja0IOqzoOqwneqyve2XmA%3D%3D,DX트렌드,온드미디어,,,
DX이해,온드미디어가 도대체 뭐냐고요? 아직 모르신다면 알려 드릴게요! ,마케팅학교 - AMPM,https://www.youtube.com/watch?v=wmcZT3KsxlI&pp=ygUP7Jio65Oc66-465SU7Ja0,DX트렌드,온드미디어,,,
DX이해,Earned media vs. paid media vs. owned media EXPLAINED ,WebFX,https://www.youtube.com/watch?v=vev9t4D9OK0&pp=ygULb3duZWQgTWVkaWE%3D,DX트렌드,온드미디어,,,
DX이해,What is Owned Media? 5 Tips to Leverage Your Own Channels [Free] ,AppsFlyer,https://www.youtube.com/watch?v=ApEfBv3fyM8&pp=ygULb3duZWQgTWVkaWE%3D,DX트렌드,온드미디어,,,
DX이해,Paid vs. Owned vs. Earned Media ,Coalition Technologies | Los Angeles SEO Company,https://www.youtube.com/watch?v=dxI6kdurnOU&pp=ygULb3duZWQgTWVkaWE%3D,DX트렌드,온드미디어,,,
DX이해,"What is Paid Media, Owned Media and Earned Media? | Explained! ",Vinayak Grover,https://www.youtube.com/watch?v=5ZsV-YgZJUQ&pp=ygULb3duZWQgTWVkaWE%3D,DX트렌드,온드미디어,,,
DX이해,하기만 해도 돈 버는 광고가 있다? owned media ,강현우의 광고렌즈[lens],https://www.youtube.com/shorts/6TM5JzP2ExE,DX트렌드,온드미디어,,,
DX이해,디지털 전환이 전부가 아니다!? 이승윤 교수의 고객경험 중요성 | 이승윤 교수 | 마케팅 뒷얘기 ep.14 ,데이터맛집,https://www.youtube.com/watch?v=lEbVI3em-GM&pp=ygUc7Jio65Oc66-465SU7Ja0IOqzoOqwneqyve2XmA%3D%3D,DX트렌드,고객경험,,,
DX이해,고객의 모든 경험을 기획하는 업무가 있다고요? ,크스큭스 (CSCX),https://www.youtube.com/watch?v=aqy6J3UVARw&pp=ygUc7Jio65Oc66-465SU7Ja0IOqzoOqwneqyve2XmA%3D%3D,DX트렌드,고객경험,,,
DX이해,고객경험 최적화를 위한 AI 기반 디지털 마케팅 ,대한상공회의소 유통TV,https://www.youtube.com/watch?v=18nuNx098rU&pp=ygUc7Jio65Oc66-465SU7Ja0IOqzoOqwneqyve2XmA%3D%3D,DX트렌드,고객경험,,,
DX이해,4. 해외 사례로 배우는 성공적인 D2C 마케팅/고객경험 전략 | 채널코퍼레이션 김재홍 부대표 ,바이라인네트워크 비즈니스 테크TV,https://www.youtube.com/watch?v=YDf3Uuhu9Dg&pp=ygUc7Jio65Oc66-465SU7Ja0IOqzoOqwneqyve2XmA%3D%3D,DX트렌드,고객경험,,,
DX이해,고객 경험(CX)이 마케팅보다 중요한 이유 ,곽팀장,https://www.youtube.com/watch?v=gfMvjvCiIzY&pp=ygUc7Jio65Oc66-465SU7Ja0IOqzoOqwneqyve2XmA%3D%3D,DX트렌드,고객경험,,,
DX이해,,,,DX트렌드,,,,
DX이해,"고객의 시간과 관심을 점유하는 새로운 마법, 게이미피케이션 (GAMIFICATION) ",쿠교수의 유튜브 MBA,https://www.youtube.com/watch?v=OTuSZg8tbaE&pp=ygUe6rKM7J2066-47ZS87LyA7J207IWY66eI7LyA7YyF,DX트렌드,게이미피케이션,,,
DX이해,"전통기업의 디지털 전환을 위한 핵심 전략, 게이미피케이션 ",투이컨설팅-투이톡,https://www.youtube.com/watch?v=yhza4B-xEgg&pp=ygUe6rKM7J2066-47ZS87LyA7J207IWY66eI7LyA7YyF,DX트렌드,게이미피케이션,,,
DX이해,[갓겜대학] EP6. 게이미피케이션 | 게임의 요소로 사람들을 몰입시킨다? ,경기콘텐츠진흥원,https://www.youtube.com/watch?v=YpXWZSLaqXc&pp=ygUe6rKM7J2066-47ZS87LyA7J207IWY66eI7LyA7YyF,DX트렌드,게이미피케이션,,,
DX이해,게임하는 것 같은 마케팅 신조어! 게이미피케이션(Gamification)! ,"터닝포인트TP, 취업 전문 유튜브",https://www.youtube.com/watch?v=k7yG-KIVS_E&pp=ygUe6rKM7J2066-47ZS87LyA7J207IWY66eI7LyA7YyF,DX트렌드,게이미피케이션,,,
DX이해,대기업은 어떻게 마케팅을 할까? 온라인마케팅 필수지식 게이미피케이션(게임화) The Secret of Gamification - Marketing Strategy ,친절한 영국형,https://www.youtube.com/watch?v=qygEC6gkcQ8&pp=ygUe6rKM7J2066-47ZS87LyA7J207IWY66eI7LyA7YyF,DX트렌드,게이미피케이션,,,
DX이해,이렇게 하면 망한다! 게이미피케이션 필패 법칙 6가지 ,플랜비디자인,https://www.youtube.com/watch?v=nYRcV7eQHXo&pp=ygUe6rKM7J2066-47ZS87LyA7J207IWY66eI7LyA7YyF,DX트렌드,게이미피케이션,,,
DX이해,[풀버전] 세상을 움직이는 게이미피케이션 | EBS 비즈니스 리뷰 김상균 편 ,EBS 비즈니스 리뷰,https://www.youtube.com/watch?v=VrtWkBV2dAs&pp=ygUe6rKM7J2066-47ZS87LyA7J207IWY66eI7LyA7YyF,DX트렌드,게이미피케이션,,,
DX이해,[비즈킷]_밀레니얼 세대와 게임을 하라! 마케팅 전략 게이미피케이션! [밀레니얼 세대] ,IGM세계경영연구원,https://www.youtube.com/watch?v=g2DneuG2h8s&pp=ygUe6rKM7J2066-47ZS87LyA7J207IWY66eI7LyA7YyF,DX트렌드,게이미피케이션,,,
DX이해,여기도 저기도 온통 게임...? 대체 게이미피케이션이 뭔데? #이크테크 #ITㅋTECH ,휴넷TV,https://www.youtube.com/watch?v=jkiD_cXLyFE&pp=ygUe6rKM7J2066-47ZS87LyA7J207IWY66eI7LyA7YyF,DX트렌드,게이미피케이션,,,
DX이해,"Gamification(게이미피케이션) | 플레이어 동기유발, 플로우, 소셜몰입루프, 온보딩, 나이키 플러스 ",노하우동스쿨,https://www.youtube.com/watch?v=un3JVp1j3tg&pp=ygUe6rKM7J2066-47ZS87LyA7J207IWY66eI7LyA7YyF,DX트렌드,게이미피케이션,,,
DX이해,게이미피케이션 공부는 어떻게 할까? [김상균 교수님의 게이미피케이션] ,QUESTSCHOOL,https://www.youtube.com/watch?v=fveQ7w-Uj-I&pp=ygUe6rKM7J2066-47ZS87LyA7J207IWY66eI7LyA7YyF,DX트렌드,게이미피케이션,,,
DX이해,,,,DX트렌드,,,,
DX이해,작은회사들의 마이크로 타켓팅방법[2단계] ,대두TV,https://www.youtube.com/watch?v=18SEYD-4U7U&pp=ygUV66eI7J207YGs66Gc7YOA6rKf7YyF,DX트렌드,마이크로타겟팅,,,
DX이해,마이크로서비스가 뭔데 유행임 ,코딩애플,https://www.youtube.com/watch?v=ZRpsB3ODr6M&pp=ygUV66eI7J207YGs66Gc7YOA6rKf7YyF,DX트렌드,마이크로타겟팅,,,
DX이해,"[비즈킷]_1%의 차이가 만드는 감동, 마이크로 밸류 마케팅! ",IGM세계경영연구원,https://www.youtube.com/watch?v=U8d7ydl3pkI&pp=ygUV66eI7J207YGs66Gc7YOA6rKf7YyF,DX트렌드,마이크로타겟팅,,,
